"","ccode","country","year","month","time","ins","reb","dpc","erv","ic","notes","coder","insnotes","dpcnotes","rebnotes","ervnotes","icnotes"
"20765",694,"Qatar",2014,1,"2014m1",0,0,0,0,0,"","Auto-coded by SAE, Inc.","","","","",""
"20766",694,"Qatar",2014,2,"2014m2",0,0,0,0,0,"","Auto-coded by SAE, Inc.","","","","",""
"20767",694,"Qatar",2014,3,"2014m3",0,0,0,0,0,"","Auto-coded by SAE, Inc.","","","","",""
"20768",694,"Qatar",2014,4,"2014m4",0,0,0,0,0,"","Auto-coded by SAE, Inc.","","","","",""
"20769",694,"Qatar",2014,5,"2014m5",0,0,0,0,0,"","Auto-coded by SAE, Inc.","","","","",""
"21087",698,"Oman",2014,1,"2014m1",0,0,0,0,0,"","Auto-coded by SAE, Inc.","","","","",""
"21088",698,"Oman",2014,2,"2014m2",0,0,0,0,0,"","Auto-coded by SAE, Inc.","","","","",""
"21089",698,"Oman",2014,3,"2014m3",0,0,0,0,0,"","Auto-coded by SAE, Inc.","","","","",""
"21090",698,"Oman",2014,4,"2014m4",0,0,0,0,0,"","Auto-coded by SAE, Inc.","","","","",""
"21091",698,"Oman",2014,5,"2014m5",0,0,0,0,0,"","Auto-coded by SAE, Inc.","","","","",""
"20604",692,"Bahrain",2014,1,"2014m1",0,0,1,0,0,"DPC: anti-gov protest.   Opposition groups 9 Jan withdrew from national dialogue talks; talks reconvened next day following intervention by Crown Prince, parties agreed to basis for further negotiations. Hundreds protested in Shiite village Diraz 17 Jan saying talks meaningless (crisis watch).CLASHES erupted between police forces and anti-government protesters after the funeral of a young man, who died in police custody, in the village of Diraz in the west of Bahain?s capital Manama on 26 January, Reuters, reported. Police forces attempted to disperse stone-throwing protesters with teargas and firing in the air. No casualties were reported (jane's).","LC Team"," "," anti-gov protest."," ","",""
"20605",692,"Bahrain",2014,2,"2014m2",0,0,1,0,0,"","Auto-coded by SAE, Inc.","","","","",""
"20606",692,"Bahrain",2014,3,"2014m3",0,0,1,0,0,"","Auto-coded by SAE, Inc.","","","","",""
"20607",692,"Bahrain",2014,4,"2014m4",0,0,1,0,0,"","Auto-coded by SAE, Inc.","","","","",""
"20608",692,"Bahrain",2014,5,"2014m5",0,0,1,0,0,"","Auto-coded by SAE, Inc.","","","","",""
"19638",660,"Lebanon",2014,1,"2014m1",0,0,0,1,1,"","Auto-coded by SAE, Inc.","","","","",""
"19639",660,"Lebanon",2014,2,"2014m2",0,0,0,1,1,"","Auto-coded by SAE, Inc.","","","","",""
"19640",660,"Lebanon",2014,3,"2014m3",0,0,0,1,1,"INS: terrorist attacks (see below) are interpreted as ERV and not INS.                               ERV: Hizbollah and local residents blocked roads around city prompting protests, road blockings and tyre burnings by Sunni militants elsewhere in Lebanon. Dozens killed in Tripoli during fighting starting 13 March between supporters of rival parties to Syrian conflict; fighting later spread to Beirut, 1 killed in clashes 23 March. Sunni jihadis continued rocket attacks, car bombings inside Lebanon in retaliation for Hizbollah?s involvement in Syria: 2 killed in suicide bombing in Bekaa Valley 16 March, claimed by Jabhat al-Nusra. 3 soldiers killed 29 March in suicide bombing at army checkpoint in Arsal; 2 civilians killed hours later by soldiers at another checkpoint (crisis watch). Additional reports in jane's.                                   IC: Continued spillover from Syrian conflict as Syria?s Assad regime intensified fight with Syrian rebels along Lebanese border. Rebel defeat in Syrian town Yabroud 16 March saw refugees and fighters fleeing to Lebanese city Arsal. Arsal and other Bekaa Valley areas targeted by Syrian regime airstrikes throughout month.  (crisis watch). ","Cohen"," ","","","sectarian violence between various groups","Continued spillover from Syrian conflict "
"19641",660,"Lebanon",2014,4,"2014m4",0,0,0,1,1,"","Auto-coded by SAE, Inc.","","","","",""
"19642",660,"Lebanon",2014,5,"2014m5",0,0,0,1,1,"","Auto-coded by SAE, Inc.","","","","",""
"20282",679,"Yemen",2014,1,"2014m1",1,1,0,1,0,"INS: Suspected al-Qaeda militants 16 Jan attacked military camp in al-Baydah, killing 9 soldiers; 31 Jan killed 17 soldiers in 2 attacks in Hadramout. Unknown assailants 19 Jan killed Iranian diplomat in Sanaa. 3 suspected al-Qaeda killed in drone strike in Marib province 24 Jan (crisis watch). Many reports in jane's.                              REB: National dialogue launched March 2013 officially concluded 25 Jan; new federal political system endorsed, president?s term extended by 1 year to oversee constitution drafting and referendum before elections. Dialogue outcomes included ?solutions document? that agrees on federalism in principle and empowers President Hadi to appoint small negotiating team to determine number of federal units. Document failed to win support of entire Hiraak (southern seccessionist movement) delegations. Security continued to deteriorate. Houthi representative Ahmed Sharaf el-Din killed 21 Jan on way to conference. Tensions in south continued: clashes erupted 17 Jan between armed residents and military al-Dalia governorate; southern separatists demonstrating against national dialogue 27 Jan clashed with troops in Ataq, 4 wounded. Tribesmen attacks on oil infrastructure in Hadramout and Shabwa continued.  (crisis watch). many reports in jane's.                              ERV: In North Huthis and Salafis 11 Jan agreed to ceasefire after months of clashes in Dammaj; Salafi spokesman 13 Jan said at least 210 Salafis killed in fighting in last 2 months; fighting between Huthis and various opponents continued in other areas including Jawf, Amran, Sadaa and Sanaa governorates (crisis watch). reports in jane's as well. ","LC Team","AQAP (Al-Qaeda in the Arabian Peninsula) insurgency."," ","Southern Separatism ","Clashes between Huthis and Salafis."," "
"20283",679,"Yemen",2014,2,"2014m2",1,1,0,1,0,"","Auto-coded by SAE, Inc.","","","","",""
"20284",679,"Yemen",2014,3,"2014m3",1,1,0,1,0,"","Auto-coded by SAE, Inc.","","","","",""
"20285",679,"Yemen",2014,4,"2014m4",1,1,0,1,0,"INS: Airstrikes 20-21 April killed some 55 reported al-Qaeda militants in south as part of reported major campaign backed by U.S. drone strikes; ground offensive launched 29 April. 15 soldiers killed 29 April in suspected AQAP ambush in Sabwa province; suicide bomb attack on Aden army base 2 April killed 11; suspected AQAP militants 15 April shot dead al-Bayda province governor; gunmen 21-22 killed 4 senior security officials in several attacks in Sanaa (crisis watch).                                  DPC: Thousands rallied in Sanaa 23 April in response to call by Feb 11 Movement, called for dismissal of govt, end to fuel shortages. UN humanitarian coordinator for Yemen 25 April said 47% of population in need of emergency humanitarian services. Friends of Yemen meeting in London began 29 April, urged Yemen govt to set clear timetable for constitution referendum and subsequent elections (crisis watch). no reports of violent protest.                              REB: reports in jane's.                           ERV: Tense stalemate between Huthis and Islah/al-Ahmar affiliated tribes continued, punctured by periodic clashes in Amran and Dhammar provinces. UN envoy Jamal Benomar 24 April said President Hadi and Huthis have agreed to discuss Huthi disarmament (crisis watch).                           IC: Unidentified gunmen firing from Yemen killed 2 Saudi guards patrolling the border in Asir Province on 10 April; a similar attack killed 1 guard and wounded another in Jizan Province on 14 April (crisis watch). No reports of hightened tension between Yemen and Saudi-Arabia. ","Cohen","AQAP (Al-Qaeda in the Arabian Peninsula) insurgency."," ","Southern Separatism","Clashes between Huthis and Islah/al-Ahmar affiliated tribes"," "
"20286",679,"Yemen",2014,5,"2014m5",1,1,0,1,0,"","Auto-coded by SAE, Inc.","","","","",""
"20443",690,"Kuwait",2014,1,"2014m1",0,0,0,0,0,"","Auto-coded by SAE, Inc.","","","","",""
"20444",690,"Kuwait",2014,2,"2014m2",0,0,0,0,0,"","Auto-coded by SAE, Inc.","","","","",""
"20445",690,"Kuwait",2014,3,"2014m3",0,0,0,0,0,"","Auto-coded by SAE, Inc.","","","","",""
"20446",690,"Kuwait",2014,4,"2014m4",0,0,0,0,0,"","Auto-coded by SAE, Inc.","","","","",""
"20447",690,"Kuwait",2014,5,"2014m5",0,0,0,0,0,"","Auto-coded by SAE, Inc.","","","","",""
"19477",652,"Syria",2014,1,"2014m1",1,0,0,0,1,"","Auto-coded by SAE, Inc.","","","","",""
"19478",652,"Syria",2014,2,"2014m2",1,0,0,0,1,"","Auto-coded by SAE, Inc.","","","","",""
"19479",652,"Syria",2014,3,"2014m3",1,0,0,0,1,"","Auto-coded by SAE, Inc.","","","","",""
"19480",652,"Syria",2014,4,"2014m4",1,0,0,0,1,"","Auto-coded by SAE, Inc.","","","","",""
"19481",652,"Syria",2014,5,"2014m5",1,0,0,0,1,"","Auto-coded by SAE, Inc.","","","","",""
"18994",640,"Turkey",2014,1,"2014m1",0,1,1,0,1,"","Auto-coded by SAE, Inc.","","","","",""
"18995",640,"Turkey",2014,2,"2014m2",0,1,1,0,1,"","Auto-coded by SAE, Inc.","","","","",""
"18996",640,"Turkey",2014,3,"2014m3",0,1,1,0,1,"","Auto-coded by SAE, Inc.","","","","",""
"18997",640,"Turkey",2014,4,"2014m4",0,1,1,0,1,"","Auto-coded by SAE, Inc.","","","","",""
"18998",640,"Turkey",2014,5,"2014m5",0,1,1,0,1,"","Auto-coded by SAE, Inc.","","","","",""
"19316",651,"Egypt",2014,1,"2014m1",1,0,1,0,0,"","Auto-coded by SAE, Inc.","","","","",""
"19317",651,"Egypt",2014,2,"2014m2",1,0,1,0,0,"","Auto-coded by SAE, Inc.","","","","",""
"19318",651,"Egypt",2014,3,"2014m3",1,0,1,0,0,"","Auto-coded by SAE, Inc.","","","","",""
"19319",651,"Egypt",2014,4,"2014m4",1,0,1,0,0,"","Auto-coded by SAE, Inc.","","","","",""
"19320",651,"Egypt",2014,5,"2014m5",1,0,1,0,0,"","Auto-coded by SAE, Inc.","","","","",""
"19960",666,"Israel",2014,1,"2014m1",0,0,0,0,1,"","Auto-coded by SAE, Inc.","","","","",""
"19961",666,"Israel",2014,2,"2014m2",0,0,0,0,1,"","Auto-coded by SAE, Inc.","","","","",""
"19962",666,"Israel",2014,3,"2014m3",0,0,0,0,1,"","Auto-coded by SAE, Inc.","","","","",""
"19963",666,"Israel",2014,4,"2014m4",0,0,0,0,1,"REB: no reports. clashes between Israeli police and Palestinians in E Jerusalem (see below) are related to the Israeli-Palestinian conflict (IC).                              IC: Crisis in Israeli-Palestinian negotiations deepened: after Israel late March reneged on pledge to release 30 Palestinian prisoners and 1 April republished tenders for more than 700 housing units in E Jerusalem settlement, Palestinian President Abbas same day signed applications to join 15 international treaties/conventions including Geneva Convention; Israel cancelled cabinet meeting on prisoner release planned for later same day, threatened sanctions. U.S. said disappointed by ?unhelpful, unilateral actions÷ of both parties; spent following weeks trying to broker extension of talks past 29 April deadline, appeared intent on continuing to try. Rival Palestinian factions Fatah and Hamas 23 April announced reconciliation deal, promised formation of unity govt; U.S. warned move could complicate efforts to extend negotiations, Israel suspended, rather than ended, talks. PLO quickly shifted to promoting govt of technocrats whose ministers would accept Quartet conditions. Several clashes between Israeli police and Palestinian protesters at E Jerusalem?s Al-Aqsa Mosque, including dozens wounded 16 April. Israeli killed in attack on car outside Hebron in W Bank 14 April. Gaza ceasefire, reactivated following breakdown in March, continued to hold despite several violations by both sides; exchanges of rocket fire across border left several Palestinians wounded, including 12 wounded in Israeli strikes 23 April (crisis watch).","Cohen"," ","","","","Crisis in Israeli-Palestinian negotiations. Several clashes between Israeli police and Palestinian protesters at E Jerusalem. Fire rockets from Gaza, Israeli Air force strikes.  "
"19964",666,"Israel",2014,5,"2014m5",0,0,0,0,1,"","Auto-coded by SAE, Inc.","","","","",""
"19799",663,"Jordan",2014,1,"2014m1",0,0,0,0,0,"","Auto-coded by SAE, Inc.","","","","",""
"19800",663,"Jordan",2014,2,"2014m2",0,0,0,0,0,"","Auto-coded by SAE, Inc.","","","","",""
"19801",663,"Jordan",2014,3,"2014m3",0,0,0,0,0,"IC: ONE judge of Jordanian nationality was shot dead by Israeli security forces after he allegedly tried to grab a soldier?s rifle at the Allenby Bridge border crossing between Jordan and the West Bank on 10 March, Maan News Agency and Associated Press reported. The judge was reportedly shot in the leg by Israeli soldiers when he tried to grab the rifle, and then was shot dead when he continued to try and attack the soldiers (jane's). On 19 March, the Jordanian army fired on vehicles crossing from Syria into Jordan, seizing drugs and weapons (jane's). No reports of hightened tension with another country (crisis watch, bbc, jane's, guardian)","Cohen"," ","","","",""
"19802",663,"Jordan",2014,4,"2014m4",0,0,0,0,0,"","Auto-coded by SAE, Inc.","","","","",""
"19803",663,"Jordan",2014,5,"2014m5",0,0,0,0,0,"","Auto-coded by SAE, Inc.","","","","",""
"20121",670,"Saudi Arabia",2014,1,"2014m1",0,0,0,0,0,"DPC: no reports of events of mass protest etc. (janes, crisis watch, bbc, guardian, opensource). ","LC Team"," ","","","",""
"20122",670,"Saudi Arabia",2014,2,"2014m2",0,0,1,0,0,"DPC: 4 killed 20 Feb in clashes in eastern Shiite area, including 2 police. 7 protesters jailed for up to 20 years for demonstrating against govt (crisis watch). While protests have been ongoing in the predominantly Shia villages in the Eastern Province since 2011, small-arms attacks targeting security forces have been isolated and rare. Incidents involving exchanges of fire with security forces have increased in 2014, indicating that militants have improved access to firearms, signalling a growing risk of radical Shia opposition factions resorting to terrorism against the Saudi state. The risk of shooting attacks targeting security forces, government employees and officials, foreign diplomats and expatriates is highest in al-Qatif, al-Awamiyah, Saihat Tarout, and Abha in the oil-rich Eastern Province, but energy production is unlikely to be affected in the next year (jane's intelligence weekly, Feb 27, http://www.bbc.com/news/world-middle-east-26275436). I coded these events DPC although it may cross the border into INS/terrorism. ","Cohen"," ","anti gov protest  and violence against police in eastern Shiite area"," ","",""
"20123",670,"Saudi Arabia",2014,3,"2014m3",0,0,0,0,0,"DPC: Govt 7 March designated Muslim Brotherhood (MB) terrorist organisation (crisis watch). No reports of mass/violent protest (crisis watch, jane's, bbc, guardian, opensource). ","Cohen"," ","","","",""
"20124",670,"Saudi Arabia",2014,4,"2014m4",0,0,0,0,0,"DPC: no reports of events (crisis watch, jane's, bbc, guardian, opensource)                               IC: Unidentified gunmen firing from Yemen killed 2 Saudi guards patrolling the border in Asir Province on 10 April; a similar attack killed 1 guard and wounded another in Jizan Province on 14 April (crisis watch). No reports of hightened tension between Yemen and Saudi-Arabia. ","Cohen"," ","","","",""
"20125",670,"Saudi Arabia",2014,5,"2014m5",0,0,0,0,0,"DPC: Report in BBC: ""In Saudi Arabia's oil-rich Eastern Province, protesters inspired by the Arab Spring have been venting their anger against the government for the last three years (http://www.bbc.com/news/world-middle-east-27619309). Molotov cocktails thrown at police patrol (http://www.bbc.com/news/world-middle-east-27633839) No reports of widespread protest in Saudi Arabia during month (crisis watch, jane's, bbc, guardian, opensource). ","LC Team"," ","","","",""
"19155",645,"Iraq",2014,1,"2014m1",1,0,1,1,0,"","Auto-coded by SAE, Inc.","","","","",""
"19156",645,"Iraq",2014,2,"2014m2",1,0,1,1,0,"","Auto-coded by SAE, Inc.","","","","",""
"19157",645,"Iraq",2014,3,"2014m3",1,0,1,1,0,"","Auto-coded by SAE, Inc.","","","","",""
"19158",645,"Iraq",2014,4,"2014m4",1,0,1,1,0,"","Auto-coded by SAE, Inc.","","","","",""
"19159",645,"Iraq",2014,5,"2014m5",1,0,1,1,0,"","Auto-coded by SAE, Inc.","","","","",""
"20926",696,"United Arab Emirates",2014,1,"2014m1",0,0,0,0,0,"","Auto-coded by SAE, Inc.","","","","",""
"20927",696,"United Arab Emirates",2014,2,"2014m2",0,0,0,0,0,"","Auto-coded by SAE, Inc.","","","","",""
"20928",696,"United Arab Emirates",2014,3,"2014m3",0,0,0,0,0,"","Auto-coded by SAE, Inc.","","","","",""
"20929",696,"United Arab Emirates",2014,4,"2014m4",0,0,0,0,0,"","Auto-coded by SAE, Inc.","","","","",""
"20930",696,"United Arab Emirates",2014,5,"2014m5",0,0,0,0,0,"","Auto-coded by SAE, Inc.","","","","",""
"20753",694,"Qatar",2013,1,"2013m1",0,0,0,0,0,"","Auto-coded by SAE, Inc.","","","","",""
"20754",694,"Qatar",2013,2,"2013m2",0,0,0,0,0,"","Auto-coded by SAE, Inc.","","","","",""
"20755",694,"Qatar",2013,3,"2013m3",0,0,0,0,0,"No reports of events (crisis watch, jane's, bbc, guardian, opensource)","Cohen","","","","",""
"20756",694,"Qatar",2013,4,"2013m4",0,0,0,0,0,"","Auto-coded by SAE, Inc.","","","","",""
"20757",694,"Qatar",2013,5,"2013m5",0,0,0,0,0,"","Auto-coded by SAE, Inc.","","","","",""
"20758",694,"Qatar",2013,6,"2013m6",0,0,0,0,0,"","Auto-coded by SAE, Inc.","","","","",""
"20759",694,"Qatar",2013,7,"2013m7",0,0,0,0,0,"","Auto-coded by SAE, Inc.","","","","",""
"20760",694,"Qatar",2013,8,"2013m8",0,0,0,0,0,"","Auto-coded by SAE, Inc.","","","","",""
"20761",694,"Qatar",2013,9,"2013m9",0,0,0,0,0,"","Auto-coded by SAE, Inc.","","","","",""
"20762",694,"Qatar",2013,10,"2013m10",0,0,0,0,0,"","Auto-coded by SAE, Inc.","","","","",""
"20763",694,"Qatar",2013,11,"2013m11",0,0,0,0,0,"","Auto-coded by SAE, Inc.","","","","",""
"20764",694,"Qatar",2013,12,"2013m12",0,0,0,0,0,"No reports of events (crisis watch, jane's, bbc, osc)","LC Team","","","","",""
"21075",698,"Oman",2013,1,"2013m1",0,0,0,0,0,"","Auto-coded by SAE, Inc.","","","","",""
"21076",698,"Oman",2013,2,"2013m2",0,0,0,0,0,"","Auto-coded by SAE, Inc.","","","","",""
"21077",698,"Oman",2013,3,"2013m3",0,0,0,0,0,"No reports of events (crisis watch, jane's, bbc, guardian)","Cohen","","","","",""
"21078",698,"Oman",2013,4,"2013m4",0,0,0,0,0,"","Auto-coded by SAE, Inc.","","","","",""
"21079",698,"Oman",2013,5,"2013m5",0,0,0,0,0,"","Auto-coded by SAE, Inc.","","","","",""
"21080",698,"Oman",2013,6,"2013m6",0,0,0,0,0,"","Auto-coded by SAE, Inc.","","","","",""
"21081",698,"Oman",2013,7,"2013m7",0,0,0,0,0,"","Auto-coded by SAE, Inc.","","","","",""
"21082",698,"Oman",2013,8,"2013m8",0,0,0,0,0,"","Auto-coded by SAE, Inc.","","","","",""
"21083",698,"Oman",2013,9,"2013m9",0,0,0,0,0,"","Auto-coded by SAE, Inc.","","","","",""
"21084",698,"Oman",2013,10,"2013m10",0,0,0,0,0,"","Auto-coded by SAE, Inc.","","","","",""
"21085",698,"Oman",2013,11,"2013m11",0,0,0,0,0,"","Auto-coded by SAE, Inc.","","","","",""
"21086",698,"Oman",2013,12,"2013m12",0,0,0,0,0,"No reports of events (crisis watch, jane's, bbc, osc)","LC Team","","","","",""
"20592",692,"Bahrain",2013,1,"2013m1",0,0,1,0,0,"","Auto-coded by SAE, Inc.","","","","",""
"20593",692,"Bahrain",2013,2,"2013m2",0,0,1,0,0,"","Auto-coded by SAE, Inc.","","","","",""
"20594",692,"Bahrain",2013,3,"2013m3",0,0,1,0,0,"DPC: continued. Amid ongoing violence, national dialogue continued. Over a month into process, parties yet to set agenda despite 9 rounds of talks, sides blame each other for being uncooperative; tenth session began 31 March. King Hamad 11 Marc","Cohen","","","","",""
"20595",692,"Bahrain",2013,4,"2013m4",0,0,1,0,0,"","Auto-coded by SAE, Inc.","","","","",""
"20596",692,"Bahrain",2013,5,"2013m5",0,0,1,0,0,"","Auto-coded by SAE, Inc.","","","","",""
"20597",692,"Bahrain",2013,6,"2013m6",0,0,1,0,0,"","Auto-coded by SAE, Inc.","","","","",""
"20598",692,"Bahrain",2013,7,"2013m7",0,0,1,0,0,"","Auto-coded by SAE, Inc.","","","","",""
"20599",692,"Bahrain",2013,8,"2013m8",0,0,1,0,0,"INS: INS characterized by bombs etc. started in May/June, but seems related to DPC and a response to the harsh measures taken by gov against protesters and the opposition organizations. I therefore coded INS 0.               August 2013: "" Bomb attacks continued, often targeting security personnel: car bomb exploded in Budaiya, west of Manama 3 Aug, no casualties reported; 5 police injured 18 Aug by bomb in Dair village; 4 police injured 30 Aug by bomb in Sahla village near Manama."" (crisis watch)          July 2013: ""Al-Ashtar Brigade, suspected of links to Iran, claimed responsibility for 18 July car bomb near Sunni mosque in Riffa, 3 arrested. Interior ministry responded with crackdown on Shiite villages: Bahrain Center for Human Rights 22 July reported 60 arrests, 140 injuries, over 150 house raids. Bombs 7, 14, 27 July left 1 policeman killed in Sitra, several injured. MP Abbas Isa al-Madi?s residence reportedly fire-bombed 15, 21 July; 3 arrested.""     May 2013: ""7 police wounded in home-made bomb attack in Bani Jamri 29 May. "" (crisis watch) ","LC Team","",""," ","",""
"20600",692,"Bahrain",2013,9,"2013m9",0,0,1,0,0,"","Auto-coded by SAE, Inc.","","","","",""
"20601",692,"Bahrain",2013,10,"2013m10",0,0,1,0,0,"","Auto-coded by SAE, Inc.","","","","",""
"20602",692,"Bahrain",2013,11,"2013m11",0,0,1,0,0,"","Auto-coded by SAE, Inc.","","","","",""
"20603",692,"Bahrain",2013,12,"2013m12",0,0,1,0,0,"No reports of events (crisis watch, jane's, bbc, osc)","LC Team","","No reports of activity consistent with a DPC in Bahrain - a historical review may be required to find a cessation date for the previously coded DPC.","","",""
"19626",660,"Lebanon",2013,1,"2013m1",0,0,0,1,1,"INS: Armed protestors in Tripoli 18 Jan assaulted March 8 coalition minister Faisal Karami?s convoy, 11 injured (crisis watch). But this doesn't cross the threshold of INS (it's seems related to ERV - see below - and not INS).","Cohen","","","","",""
"19627",660,"Lebanon",2013,2,"2013m2",0,0,0,1,1,"INS:  events seem related to ERV and not INS (see below).                           ERV: Hightened political/ethnic tensions. Joint parliamentary committees 19 Feb endorsed controversial ?Orthodox Gathering? electoral law proposal requiring eac","Cohen","","","","",""
"19628",660,"Lebanon",2013,3,"2013m3",0,0,0,1,1,"ERV: Hightened political/ethnic tensions. Month saw further deterioration, with tensions escalating on several fronts and political uncertainty as govt collapsed 22 March after PM Mikati resigned following standoff with Hizbollah over extending","Cohen","","","","",""
"19629",660,"Lebanon",2013,4,"2013m4",0,0,0,1,1,"","Auto-coded by SAE, Inc.","","","","",""
"19630",660,"Lebanon",2013,5,"2013m5",0,0,0,1,1,"INS: no reports (crisis watch, jane's) - violence is related to ERV or IC.                         ERV: 30 killed and 200 wounded when renewed violence erupted between Sunni and Alawite residents in Tripoli 19 May (crisis watch). Additional rep","Cohen","","","","",""
"19631",660,"Lebanon",2013,6,"2013m6",0,0,0,1,1,"INS, ERV and IC: As country increasingly drawn into Syrian conflict, sectarian clashes increasing. Shelling across border from Syria continued including at least 12 rockets fired on eastern city Baalbek, shelling of Bekaa valley, Hermel and Ars","LC Team","","","","",""
"19632",660,"Lebanon",2013,7,"2013m7",0,0,0,1,1,"","Auto-coded by SAE, Inc.","","","","",""
"19633",660,"Lebanon",2013,8,"2013m8",0,0,0,1,1,"","Auto-coded by SAE, Inc.","","","","",""
"19634",660,"Lebanon",2013,9,"2013m9",0,0,0,1,1,"","Auto-coded by SAE, Inc.","","","","",""
"19635",660,"Lebanon",2013,10,"2013m10",0,0,0,1,1,"","Auto-coded by SAE, Inc.","","","","",""
"19636",660,"Lebanon",2013,11,"2013m11",0,0,0,1,1,"","Auto-coded by SAE, Inc.","","","","",""
"19637",660,"Lebanon",2013,12,"2013m12",0,0,0,1,1,"ERV: 1) Beirut blast kills Sunni ex-minister Mohamad Chatah; 2)TWO residents of the predominantly Alawite Shia Muslim neighbourhood of Jabal Mohsen in the city of Tripoli in Lebanon's North Governorate were wounded in a suspected sectarian small-arms attack by unidentified gunmen on 11 December; IC:no indication of cessation","LC Team","","","","Sectarian small-arms attack by unidentified gunmen","no indication of cessation"
"20270",679,"Yemen",2013,1,"2013m1",1,0,0,0,0,"","Auto-coded by SAE, Inc.","","","","",""
"20271",679,"Yemen",2013,2,"2013m2",1,0,0,0,0,"","Auto-coded by SAE, Inc.","","","","",""
"20272",679,"Yemen",2013,3,"2013m3",1,0,1,1,0,"INS: Islamist insurgency continued. Gunmen 23 March shot dead 3 in failed attempt to assassinate Abdo Abu Ras, Houthis? representative at negotiations. State?s Land Real Estate Chair Abdullah al-Fadhali escaped 25 March assassination attempt. 5","Cohen","","","","",""
"20273",679,"Yemen",2013,4,"2013m4",1,0,1,1,0,"INS: Islamist insurgency (AQAP) continued. 5 soldiers, 2 militants killed 27 April in attack on military checkpoint in Radda. 2 suspected U.S. drone strikes 17 April killed at least 5 suspected militants; drone strike 21 April killed 2 militant","Cohen","","","","",""
"20274",679,"Yemen",2013,5,"2013m5",1,0,1,1,0,"INS: Suspected U.S. drone 27 May killed 2 militants outside Radda, Bayda province; reported drone strike killed at least 4 militants 18 May in Abyan governorate. Gunmen 27 May kidnapped 2 South Africans from Taiz prompting demonstrations 30 May","Cohen","","","","",""
"20275",679,"Yemen",2013,6,"2013m6",1,0,1,1,0,"INS: Govt early June announced major offensive against al-Qaeda-linked militants in Hadramout governorate; 3 soldiers and 7 militants reportedly killed 5 June in clashes at Ghail Bawazeer (crisis watch).  On 24 May, AQAP and its affiliate Ansar","LC Team","","","","",""
"20276",679,"Yemen",2013,7,"2013m7",1,0,0,1,0,"INS: There was a successful attack on a high-ranking army officer in Hadramaut province, a roadside bomb, and continued attacks on national infastructure (CrisisWatch); furthermore, there was no clear cessation of the previously coded insurgency.","LC Team","","","","Rising risk of a Houthi/Salafist war in north Yemen jeopardises national dialogue: The increasing frequency of violent clashes between Houthis and Salafists in Yemen further raises the probability of the National Dialogue Conference (NDC) failing.",""
"20277",679,"Yemen",2013,8,"2013m8",1,0,0,1,0,"INS: Month saw surge in U.S. drone strikes against suspected al-Qaeda (AQAP) militants killing tens including senior AQAP leader Qaid Ahmad Nasser al-Dhahab 30 Aug. U.S., British, French, Dutch and other foreign embassies closed early Aug for approx 2 weeks after U.S. govt 2 Aug announced AQAP planned attack; Yemeni authorities 7 Aug said AQAP attack on southern port and oil and gas facilities thwarted. Attacks on security personnel left 29 dead in first half of Aug; 2 soldiers killed, several wounded 23 Aug in suicide bomb attack on checkpoint in Shibam, Hadramawt province; intelligence official and son killed 28 Aug in Aden. At least 3 killed, 23 wounded in attack on military bus in Sanaa 25 Aug (crisis watch). Many reports in jane's. ERV: Clashes between Huthis and various opposing groups in Amran, Saada and Ibb killed dozens, including 13 killed 13 Aug and 8 killed 28 Aug in Amran. Land disputes in capital intensified. Tensions rose ahead of 18 Sept deadline for conclusion of national dialogue: southern separatists failed to return to negotiations following Eid holidays; negotiations ongoing to secure their return; govt 21 Aug apologised to southerners for 1994 civil war ","LC Team",""," "," ","Clashes between Huthis and various opposing groups in Amran, Saada and Ibb killed dozens. Land disputes in capital intensified. Tensions rose ahead of 18 Sept deadline for conclusion of national dialogue: southern separatists failed to return to negotiations following Eid holidays; negotiations ongoing to secure their return; govt 21 Aug apologised to southerners for 1994 civil war "," U.S. attack on AQAP, but no threat of war between Yemen and another country. "
"20278",679,"Yemen",2013,9,"2013m9",1,0,0,1,0,"","Auto-coded by SAE, Inc.","","","","",""
"20279",679,"Yemen",2013,10,"2013m10",1,0,0,1,0,"INS: German security guard killed 6 Oct in Sanaa; same day, UNICEF employee kidnapped on airport road. At least 5 soldiers killed, 15 injured 18 Oct in attack on base in Abyan province; 2 soldiers and civilian killed at checkpoint in Abyan province 31 Oct. Al-Qaeda leader Omar Salem arrested 29 Oct in Hadramawt province (crisis watch). Many reports of AQAP attacks in jane's.                             ERV: Tenuous truce between Huthis and Salafis in Dammaj began to unravel mid-month with renewed clashes; at least 30 reportedly killed, over 100 injured (crisis watch). Many reports of tribal clashes in jane's.                              IC: no threat of war between Yemen and another country (crisis watch, jane's).  ","LC Team","AQAP (Al-Qaeda in the Arabian Peninsula) insurgency. "," ","","Clashes between Huthis and Salafis. "," "
"20280",679,"Yemen",2013,11,"2013m11",1,0,0,1,0,"","Auto-coded by SAE, Inc.","","","","",""
