"","Event.ID","Source.Name","Source.Sectors","Source.Country","Event.Text","CAMEO.Code","Intensity","Target.Name","Target.Sectors","Target.Country","Story.ID","Sentence.Number","Publisher","City","District","Province","Country","Latitude","Longitude","Event.Date_1","Event.Date_2","Event.Date_3"
"1",9166813,"Citizen (Iraq)","Social,General Population / Civilian / Social","Iraq","Demonstrate or rally",141,-6.5,"Unspecified Actor","Unspecified","",2917884,1,"The Christian Science Monitor","","","","",33.3406,44.4009,2005,9,1
"2",9167035,"Mahmoud Ahmadinejad","Elite,Far Right,Government,Executive,Ideological,Executive Office,Parties,(National) Major Party","Iran","Express intent to meet or negotiate",36,4,"South Korea","","South Korea",2919201,1,"Yonhap English News","Tehran","","Tehran Province","South Korea",35.6944,51.4215,2005,9,1
"3",9167292,"Ariel Sharon","Jews,Center Right,Executive,Executive Office,(National) Major Party,Government,Ideological,Parties,International Ethnic","Israel","Make statement",10,0,"Israel","","Israel",2920186,3,"Associated Press Newswires","","","West Bank","Israel",31.6667,35.25,2005,9,1
"4",9167397,"Islamic Republic News Agency","Government,Executive,State Media,Information / Communication / Transparency Ministry","Iran","Consult",40,1,"Supreme National Security Council","Defense / Security Ministry,Government,Executive","Iran",2920704,2,"BBC Monitoring Middle East","Algiers","","Wilaya d' Alger","Iran",36.7525,3.04197,2005,9,1
"5",9167622,"Hosni Mubarak","Executive,Elite,Executive Office,Government","Egypt","Make a visit",42,1.9,"Israel","","Israel",2921726,6,"Reuters News","Jerusalem","","Jerusalem District","Israel",31.769,35.2163,2005,9,1
"6",9167667,"Benjamin Netanyahu","Elite,Jews,Center Right,(National) Major Party,Ideological,Parties,International Ethnic","Israel","Make statement",10,0,"Ariel Sharon","Jews,Center Right,Executive,Executive Office,(National) Major Party,Government,Ideological,Parties,International Ethnic","Israel",2921935,2,"The New York Times","East Jerusalem","","West Bank","Israel",31.7834,35.2339,2005,9,1
"7",9167718,"Egypt","","Egypt","Host a visit",43,2.8,"Salva Kiir","Catholic,Dissident,Elite,International Religious,Separatists,Parties","Sudan",2922134,1,"Agence France-Presse","Cairo","","Muhafazat al Qahirah","Sudan",30.0626,31.2497,2005,9,1
"8",9167865,"Israel","","Israel","Express intent to engage in diplomatic cooperation (such as policy support)",32,4.5,"Egypt","","Egypt",2922833,1,"BBC Monitoring Middle East","","","Gaza Strip","Egypt",31.4167,34.3333,2005,9,1
"9",9167929,"Silvan Shalom","Unicameral,Executive,Cabinet,International Ethnic,Legislative / Parliamentary,Jews,Foreign Ministry,Center Right,(National) Major Party,Government,Parties,Ideological","Israel","Discuss by telephone",41,1,"Israel Radio","Information / Communication / Transparency Ministry,State Media,Executive,News,Media,Government,Radio News,Social","Israel",2923051,2,"Associated Press Newswires","Jerusalem","","Jerusalem District","Israel",31.769,35.2163,2005,9,1
"10",9168107,"Cleric (Iraq)","Social,National Religious","Iraq","Make an appeal or request",20,3,"Citizen (Iraq)","Social,General Population / Civilian / Social","Iraq",2923882,6,"Agence France-Presse","An Najaf al Ashraf","","An Najaf","Iraq",31.9892,44.3291,2005,9,1
