"","Event.ID","Source.Name","Source.Sectors","Source.Country","Event.Text","CAMEO.Code","Intensity","Target.Name","Target.Sectors","Target.Country","Story.ID","Sentence.Number","Publisher","City","District","Province","Country","Latitude","Longitude","Event.Date_1","Event.Date_2","Event.Date_3"
"1",8720062,"Kuwait","","Kuwait","Consult",40,1,"Syria","","Syria",6692010,4,"Associated Press Newswires","Istanbul","","Istanbul","Syria",41.0138,28.9497,2005,5,1
"2",8720326,"Iran","","Iran","Consult",40,1,"Jordan","","Jordan",6692804,4,"Associated Press Newswires","Istanbul","","Istanbul","Jordan",41.0138,28.9497,2005,5,1
"3",8720328,"Syria","","Syria","Consult",40,1,"Kuwait","","Kuwait",6692804,4,"Associated Press Newswires","Istanbul","","Istanbul","Kuwait",41.0138,28.9497,2005,5,1
"4",8720493,"Kuwait","","Kuwait","Host a visit",43,2.8,"Otto Schily","Elite,Interior / Home Ministry,(National) Major Party,Government,Center Left,Cabinet,Executive,Parties,Ideological","Germany",6693340,1,"Al-Bawaba News","","","","Germany",29.3697,47.9783,2005,5,1
"5",8720697,"Military (Iraq)","Military,Government","Iraq","Use conventional military force",190,-10,"Iraq","","Iraq",6693851,1,"Reuters News","Baghdad","","Muhafazat Baghdad","Iraq",33.3406,44.4009,2005,5,1
"6",8720777,"Intelligence Chief (Egypt)","Executive,Intelligence Ministry,Government","Egypt","Express intent to meet or negotiate",36,4,"Ariel Sharon","Parties,Jews,(National) Major Party,Executive,Government,International Ethnic,Ideological,Executive Office,Center Right","Israel",6694042,4,"Xinhua News Agency","Sharm ash Shaykh","","Muhafazat Janub Sina'","Israel",27.9158,34.3299,2005,5,1
"7",8720823,"Other Authorities / Officials (Egypt)","Government","Egypt","Arrest, detain, or charge with legal action",173,-5,"Citizen (Egypt)","Social,General Population / Civilian / Social","Egypt",6694145,1,"Xinhua News Agency","Cairo","","Muhafazat al Qahirah","Egypt",30.0626,31.2497,2005,5,1
"8",8720864,"Legislature (Iraq)","Legislative / Parliamentary,Government","Iraq","Praise or endorse",51,3.4,"Head of Government (Iraq)","Executive Office,Executive,Government","Iraq",6694225,1,"Agence France-Presse","Baghdad","","Muhafazat Baghdad","Iraq",33.3406,44.4009,2005,5,1
"9",8720892,"Domestic Affairs (Palestinian Territory, Occupied)","Interior / Home Ministry,Government,Executive","Occupied Palestinian Territory","Consult",40,1,"Egypt","","Egypt",6694298,3,"Xinhua News Agency","Gaza","","Gaza Strip","Egypt",31.5,34.4667,2005,5,1
"10",8720908,"Militant (Iraq)","Unidentified Forces","Iraq","Use unconventional violence",180,-9,"Police (Iraq)","Police,Government","Iraq",6694334,4,"Organisation of Asia-Pacific News Agencies","Baghdad","","Muhafazat Baghdad","Iraq",33.3406,44.4009,2005,5,1
"11",8721169,"Scholar (Iraq)","Social,Education","Iraq","Appeal for release of persons or property",253,-0.3,"Iraq","","Iraq",6695091,1,"BBC Monitoring Middle East","","","","Iraq",33.3406,44.4009,2005,5,1
"12",8721229,"Police (Palestinian Territory, Occupied)","Police,Government","Occupied Palestinian Territory","Make statement",10,0,"Military Personnel - Special (Israel)","Government,Military","Israel",6695317,4,"Dow Jones International News","Tulkarm","","West Bank","Israel",32.3104,35.0286,2005,5,1
"13",8721311,"Armed Gang (Iraq)","Unidentified Forces","Iraq","Carry out suicide bombing",1831,-10,"Citizen (Iraq)","General Population / Civilian / Social,Social","Iraq",6695658,1,"Xinhua News Agency","Baghdad","","Muhafazat Baghdad","Iraq",33.3406,44.4009,2005,5,1
"14",8721363,"Fatah","(National) Major Party,Parties,Dissident,Center Left,Ideological","Occupied Palestinian Territory","Make an appeal or request",20,3,"Unidentified State Actor","","",6695863,1,"BBC Monitoring Middle East","Ramallah","","West Bank","",31.8996,35.2042,2005,5,1
"15",8721540,"Armed Gang (Iraq)","Unidentified Forces","Iraq","Assassinate",186,-10,"Citizen (Iraq)","General Population / Civilian / Social,Social","Iraq",6696640,1,"BBC Monitoring Newsfile","Baghdad","","Muhafazat Baghdad","Iraq",33.3406,44.4009,2005,5,1
"16",8721585,"Iraq","","Iraq","Host a visit",43,2.8,"Donald Rumsfeld","(National) Major Party,Defense / Security Ministry,Parties,Ideological,Government,Cabinet,Executive,Center Right","United States",6696798,3,"Hindustan Times","","","","United States",33.3406,44.4009,2005,5,1
"17",8721663,"Shimon Peres","Parties,Jews,(National) Major Party,Elite,Center Left,International Ethnic,Ideological","Israel","Consult",40,1,"James Wolfensohn","Global Economic/Financial/Trade IGOs,International Government Organization,Global,Global Development IGOs","",6697088,5,"The Jerusalem Post","Tel Aviv","","Tel Aviv District","",32.0809,34.7806,2005,5,1
"18",8722826,"Military (Iraq)","Military,Government","Iraq","Investigate",90,-2,"Iraq","","Iraq",6698581,1,"Associated Press Newswires","","","","Iraq",33.3406,44.4009,2005,5,2
"19",8722990,"Militant (Palestinian Territory, Occupied)","Unidentified Forces","Occupied Palestinian Territory","Use unconventional violence",180,-9,"Israeli Defense Forces","Government,Military","Israel",6699222,1,"Reuters News","","","West Bank","Israel",31.6667,35.25,2005,5,2
"20",8723043,"Iraq","","Iraq","Host a visit",43,2.8,"Business (Australia)","Social,Business","Australia",6699538,1,"Australian Broadcasting Corporation (ABC) News","","","","Australia",33.3406,44.4009,2005,5,2
"21",8723064,"Military (Palestinian Territory, Occupied)","Military,Government","Occupied Palestinian Territory","Arrest, detain, or charge with legal action",173,-5,"Islamic Jihad","Dissident,Organized Violent","Occupied Palestinian Territory",6699608,4,"Reuters News","Tulkarm","","West Bank","Occupied Palestinian Territory",32.3104,35.0286,2005,5,2
"22",8723164,"Ariel Sharon","Parties,Jews,(National) Major Party,Executive,Government,International Ethnic,Ideological,Executive Office,Center Right","Israel","Declare truce, ceasefire",871,9,"Mahmoud Abbas","Elite,Executive Office,Government,Executive","Occupied Palestinian Territory",6699918,3,"Xinhua News Agency","Tulkarm","","West Bank","Occupied Palestinian Territory",32.3104,35.0286,2005,5,2
"23",8723286,"Ariel Sharon","Parties,Jews,(National) Major Party,Executive,Government,International Ethnic,Ideological,Executive Office,Center Right","Israel","Declare truce, ceasefire",871,9,"Mahmoud Abbas","Elite,Executive Office,Government,Executive","Occupied Palestinian Territory",6700282,6,"Xinhua News Agency","Tulkarm","","West Bank","Occupied Palestinian Territory",32.3104,35.0286,2005,5,2
"24",8723296,"Government (Oman)","Government","Oman","Accuse",112,-2,"Men (Oman)","General Population / Civilian / Social,Social","Oman",6700336,6,"Reuters News","Muscat","","Muhafazat Masqat","Oman",23.6139,58.5922,2005,5,2
"25",8723331,"Armed Gang (Iraq)","Unidentified Forces","Iraq","Carry out suicide bombing",1831,-10,"Citizen (Iraq)","General Population / Civilian / Social,Social","Iraq",6700530,2,"Agence France-Presse","Baghdad","","Muhafazat Baghdad","Iraq",33.3406,44.4009,2005,5,2
"26",8723733,"Ariel Sharon","Parties,Jews,(National) Major Party,Executive,Government,International Ethnic,Ideological,Executive Office,Center Right","Israel","Praise or endorse",51,3.4,"Recep Tayyip Erdoğan","Executive,Government,Executive Office,Elite,(National) Major Party,International Religious,Ideological,Parties,Center Right,Sunni","Turkey",6701913,6,"BBC Monitoring Middle East","","","","Turkey",39.9167,32.8333,2005,5,2
"27",8723810,"Syria","","Syria","Make statement",10,0,"Adnan Badran","Executive Office,Executive,Government,Elite","Jordan",6702248,4,"BBC Monitoring Newsfile","Damascus","","Dimashq","Jordan",33.5102,36.2913,2005,5,2
"28",8723848,"Palestinian Territory, Occupied","","Occupied Palestinian Territory","Make statement",10,0,"Turkey","","Turkey",6702462,6,"Agence France-Presse","Ankara","","Ankara","Turkey",39.9199,32.8543,2005,5,2
"29",8724167,"Ministry (Saudi Arabia)","Government","Saudi Arabia","Make statement",10,0,"Saudi Arabia","","Saudi Arabia",6703496,2,"Reuters News","Riyadh","","Mintaqat ar Riyad","Saudi Arabia",24.6877,46.7219,2005,5,2
