"","Event.ID","Source.Name","Source.Sectors","Source.Country","Event.Text","CAMEO.Code","Intensity","Target.Name","Target.Sectors","Target.Country","Story.ID","Sentence.Number","Publisher","City","District","Province","Country","Latitude","Longitude","Event.Date_1","Event.Date_2","Event.Date_3"
"24",8848350,"Armed Gang (Iraq)","Unidentified Forces","Iraq","Carry out suicide bombing",1831,-10,"Citizen (Iraq)","General Population / Civilian / Social,Social","Iraq",2808027,1,"Reuters News","Baghdad","","Muhafazat Baghdad","Iraq",33.3406,44.4009,2005,6,2
"25",8848400,"Al-Watan (Jordan)","Print News,News,Social,Media","Jordan","Make statement",10,0,"Head of Government (Iraq)","Executive,Government,Executive Office","Iraq",2808233,1,"Organisation of Asia-Pacific News Agencies","","","","Iraq",31.9552,35.945,2005,6,2
"26",8848543,"Ariel Sharon","Center Right,Ideological,Government,(National) Major Party,Parties,Executive,Executive Office,International Ethnic,Jews","Israel","Express intent to meet or negotiate",36,4,"Mahmoud Abbas","Executive,Elite,Executive Office,Government","Occupied Palestinian Territory",2808921,2,"Xinhua News Agency","Jerusalem","","Jerusalem District","Occupied Palestinian Territory",31.769,35.2163,2005,6,2
"27",8848719,"Mahmoud Abbas","Executive,Elite,Executive Office,Government","Occupied Palestinian Territory","Make a visit",42,1.9,"Jordan","","Jordan",2809789,5,"Agence France-Presse","Amman","","Muhafazat `Amman","Jordan",31.9552,35.945,2005,6,2
"28",8848786,"Police (Iraq)","Government,Police","Iraq","Arrest, detain, or charge with legal action",173,-5,"Insurgent (Iraq)","Rebel,Dissident","Iraq",2810140,4,"Reuters News","Baghdad","","Muhafazat Baghdad","Iraq",33.3406,44.4009,2005,6,2
"29",8848845,"Police (Iraq)","Government,Police","Iraq","Arrest, detain, or charge with legal action",173,-5,"Citizen (Iraq)","General Population / Civilian / Social,Social","Iraq",2810380,2,"Agence France-Presse","Baghdad","","Muhafazat Baghdad","Iraq",33.3406,44.4009,2005,6,2
"30",8848894,"Israel","","Israel","Return, release person(s)",841,7,"Citizen (Palestinian Territory, Occupied)","Social,General Population / Civilian / Social","Occupied Palestinian Territory",2810543,1,"Associated Press Newswires","Tulkarm","","West Bank","Occupied Palestinian Territory",32.3104,35.0286,2005,6,2
"31",8848921,"Ansar al-Islam","Dissident,International Religious,Radicals / Extremists / Fundamentalists,Kurd (Ethnic Group),International Ethnic,Sunni","Iraq","Demand",100,-5,"Government (Norway)","Government","Norway",2810702,1,"Associated Press Newswires","Oslo","Oslo","Oslo County","Norway",59.9127,10.7461,2005,6,2
"32",8849122,"Insurgent (Iraq)","Rebel,Dissident","Iraq","Use unconventional violence",180,-9,"Citizen (Iraq)","General Population / Civilian / Social,Social","Iraq",2811514,1,"Associated Press Newswires","Baghdad","","Muhafazat Baghdad","Iraq",33.3406,44.4009,2005,6,2
"33",8849150,"Mahmoud Abbas","Executive,Elite,Executive Office,Government","Occupied Palestinian Territory","Consult",40,1,"Head of Government (Palestinian Territory, Occupied)","Executive,Executive Office,Government","Occupied Palestinian Territory",2811650,4,"Xinhua News Agency","Damascus","","Dimashq","Occupied Palestinian Territory",33.5102,36.2913,2005,6,2
"34",8849312,"Iraqi Kurds","Kurd (Ethnic Group),International Ethnic","Iraq","Demand",100,-5,"Mullah Krekar","International Dissident,International Terrorists","Norway",2812215,6,"Agence France-Presse","Oslo","Oslo","Oslo County","Norway",59.9127,10.7461,2005,6,2
"35",8849508,"Saeb Erekat","Dissident,Parties","Occupied Palestinian Territory","Appeal to engage in or accept mediation",28,4,"Unidentified State Actor","","",2813089,6,"Reuters News","","","Washington D.C.","",38.9171,-77.0003,2005,6,2
"36",8849735,"Armed Gang (Saudi Arabia)","Unidentified Forces","Saudi Arabia","Use unconventional violence",180,-9,"Citizen (Saudi Arabia)","General Population / Civilian / Social,Social","Saudi Arabia",2814039,1,"BBC Monitoring Middle East","Riyadh","","Mintaqat ar Riyad","Saudi Arabia",24.6877,46.7219,2005,6,2
"37",8849859,"Mahmoud Abbas","Executive,Elite,Executive Office,Government","Occupied Palestinian Territory","Make a visit",42,1.9,"United States","","United States",2814566,3,"BBC Monitoring Middle East","","","Washington D.C.","United States",38.9171,-77.0003,2005,6,2
